商品代码,买/卖,类型,数量,已成交数量,限价,止损价,成交均价,状态,更新时间,总盈亏,净盈亏,佣金,隔夜利息,股息,订单编号
XAUUSD,卖出,市价,3,3,,,4076.11,已成交,2025-11-17 11:46:49,-20.22,-20.22,0.00,0.00,0.00,114989993
USDJPY,卖出,市价,10000,10000,,,153.762,已成交,2025-11-17 10:39:29,-57.61,-58.81,0.00,-1.20,0.00,114968835
USDJPY,卖出,市价,15000,15000,,,153.762,已成交,2025-11-14 23:49:19,-66.72,-66.72,0.00,0.00,0.00,114964238
XAUUSD,卖出,市价,1,1,,,4189.96,已成交,2025-11-14 23:48:54,98.30,98.30,0.00,0.00,0.00,114960362
US30,卖出,市价,0.1,0.1,,,47292.85,已成交,2025-11-14 22:04:27,8.71,8.71,0.00,0.00,0.00,114960037
US30,卖出,市价,0.2,0.2,,,47261.85,已成交,2025-11-14 22:04:27,11.34,11.34,0.00,0.00,0.00,114960214
XAUUSD,卖出,市价,1,1,,,4189.96,已成交,2025-11-14 19:28:16,40.82,40.82,0.00,0.00,0.00,114956988
US30,买入,止盈,0.2,0,46557,,,已取消,2025-11-14 22:04:27,,,,,,907782682
US30,卖出,市价,0.2,0.2,,,47261.85,已成交,2025-11-14 19:22:55,-3.26,-3.26,0.00,0.00,0.00,114960154
US30,买入,止盈,0.5,0,45156,,,已取消,2025-11-14 18:11:12,,,,,,907781782
US30,买入,止损,0.5,0.5,,47443,47443.75,已成交,2025-11-14 18:11:12,,,,,,907781783
US30,卖出,市价,0.5,0.5,,,47426.25,已成交,2025-11-14 18:11:12,-8.75,-8.75,0.00,0.00,0.00,114958665
XAUUSD,买入,止盈,1,0,3924.15,,,已取消,2025-11-14 23:48:54,,,,,,907779806
XAUUSD,买入,止损,1,0,,4189.6,,已取消,2025-11-14 23:48:54,,,,,,907779805
XAUUSD,卖出,市价,3,3,,,4189.96,已成交,2025-11-14 15:32:41,74.85,74.85,0.00,0.00,0.00,114955758
XAUUSD,买入,止盈,2,0,4041.19,,,已取消,2025-11-14 03:35:37,,,,,,907775449
XAUUSD,买入,跟踪止损,2,2,,4164.72,4164.35,已成交,2025-11-14 03:35:37,,,,,,907775614
XAUUSD,卖出,市价,2,2,,,4156.43,已成交,2025-11-14 03:35:37,-15.84,-15.84,0.00,0.00,0.00,114946902
XAUUSD,买入,止盈,2,0,4027.6,,,已取消,2025-11-14 02:34:51,,,,,,907775360
XAUUSD,买入,止损,2,2,,4167.56,4167.53,已成交,2025-11-14 02:34:51,,,,,,907775409
XAUUSD,卖出,市价,2,2,,,4167.48,已成交,2025-11-14 02:34:51,-0.10,-0.10,0.00,0.00,0.00,114946741
XAUUSD,卖出,市价,2,2,,,4216.76,已成交,2025-11-14 01:54:12,25.04,25.04,0.00,0.00,0.00,114938845
XAUUSD,买入,市价,1,1,,,4203.06,已成交,2025-11-13 22:09:00,11.54,11.54,0.00,0.00,0.00,114933477
USDJPY,买入,止盈,10000,0,153.221,,,已取消,2025-11-13 17:57:12,,,,,,907767731
USDJPY,卖出,市价,10000,10000,,,154.555,已成交,2025-11-13 17:57:12,2.39,2.39,0.00,0.00,0.00,114932827
XAUUSD,卖出,止损,1,1,,4214.27,4214.6,已成交,2025-11-13 22:09:00,,,,,,907765432
XAUUSD,买入,市价,1,1,,,4203.06,已成交,2025-11-13 17:30:08,23.20,23.20,0.00,0.00,0.00,114929173
XAUUSD,卖出,市价,1,1,,,4184.4,已成交,2025-11-13 11:35:27,-18.96,-18.96,0.00,0.00,0.00,114928395
XAUUSD,卖出,市价,1,1,,,4184.4,已成交,2025-11-13 10:17:48,-9.67,-9.67,0.00,0.00,0.00,114927797
USDJPY,卖出,市价,10000,10000,,,154.714,已成交,2025-11-13 03:07:32,1.36,1.36,0.00,0.00,0.00,114915712
XAUUSD,卖出,止盈,2,0,4149.05,,,已取消,2025-11-12 21:10:03,,,,,,907756260
XAUUSD,卖出,止损,2,2,,4123.78,4123.69,已成交,2025-11-12 21:10:03,,,,,,907756259
XAUUSD,买入,市价,2,2,,,4129.56,已成交,2025-11-12 21:10:03,-11.74,-11.74,0.00,0.00,0.00,114909362
XAUUSD,卖出,市价,2,2,,,4123.66,已成交,2025-11-12 15:09:34,2.58,2.58,0.00,0.00,0.00,114903443
XAUUSD,买入,止盈,2,0,4027.57,,,已取消,2025-11-12 15:09:34,,,,,,907751981
XAUUSD,买入,止损,2,2,,4122.27,4122.37,已成交,2025-11-12 15:09:34,,,,,,907751982
XAUUSD,卖出,市价,3,3,,,4123.66,已成交,2025-11-12 13:00:19,37.89,37.89,0.00,0.00,0.00,114902309
XAUUSD,卖出,市价,5,5,,,4127.96,已成交,2025-11-11 23:46:00,92.60,92.60,0.00,0.00,0.00,114886642
XAUUSD,卖出,止盈,5,0,4365.48,,,已取消,2025-11-11 22:04:02,,,,,,907743762
XAUUSD,卖出,止损,5,5,,4139.62,4139.5,已成交,2025-11-11 22:04:02,,,,,,907743732
XAUUSD,买入,市价,5,5,,,4139.67,已成交,2025-11-11 22:04:02,-0.85,-0.85,0.00,0.00,0.00,114884944
XAUUSD,买入,止盈,5,0,3913.84,,,已取消,2025-11-11 21:25:19,,,,,,907743448
XAUUSD,买入,止损,5,0,,4145.74,,已取消,2025-11-11 21:25:19,,,,,,907743449
XAUUSD,卖出,市价,5,5,,,4135,已成交,2025-11-11 21:25:19,-41.65,-41.65,0.00,0.00,0.00,114884712
XAUUSD,买入,市价,1,1,,,4144.74,已成交,2025-11-11 20:54:20,-9.89,-9.89,0.00,0.00,0.00,114878065
USDJPY,买入,止盈,10000,0,153.369,,,已取消,2025-11-11 17:00:05,,,,,,907739912
USDJPY,买入,止损,10000,10000,,154.396,154.397,已成交,2025-11-11 17:00:05,,,,,,907739911
USDJPY,卖出,市价,10000,10000,,,154.185,已成交,2025-11-11 17:00:05,-13.73,-13.73,0.00,0.00,0.00,114878815
XAUUSD,买入,止盈,2,0,4001.23,,,已取消,2025-11-11 11:10:13,,,,,,907739136
XAUUSD,买入,止损,2,2,,4141.75,4141.88,已成交,2025-11-11 11:10:13,,,,,,907739157
XAUUSD,卖出,市价,2,2,,,4136.16,已成交,2025-11-11 11:10:13,-11.44,-11.44,0.00,0.00,0.00,114877101
XAUUSD,买入,市价,2,2,,,4140.26,已成交,2025-11-11 09:45:01,-8.16,-8.16,0.00,0.00,0.00,114877061
USDJPY,卖出,市价,25000,25000,,,153.946,已成交,2025-11-11 03:53:30,-17.37,-17.37,0.00,0.00,0.00,114873071
USDJPY,买入,止盈,25000,0,153.034,,,已取消,2025-11-11 03:53:30,,,,,,907736196
USDJPY,买入,止损,25000,25000,,154.051,154.053,已成交,2025-11-11 03:53:30,,,,,,907735746
USDJPY,卖出,市价,25000,25000,,,153.946,已成交,2025-11-11 02:31:01,-9.90,-9.90,0.00,0.00,0.00,114870104
USDJPY,买入,止盈,50000,0,153.512,,,已取消,2025-11-10 22:46:32,,,,,,907733955
USDJPY,买入,止损,50000,50000,,154.138,154.139,已成交,2025-11-10 22:46:32,,,,,,907733956
USDJPY,卖出,市价,50000,50000,,,154.014,已成交,2025-11-10 22:46:32,-40.55,-40.55,0.00,0.00,0.00,114866537
USDJPY,买入,止盈,50000,0,152.354,,,已取消,2025-11-10 22:31:09,,,,,,907733088
USDJPY,买入,止损,50000,50000,,154.126,154.126,已成交,2025-11-10 22:31:09,,,,,,907733087
USDJPY,卖出,市价,50000,50000,,,154.021,已成交,2025-11-10 22:31:09,-34.07,-34.07,0.00,0.00,0.00,114864918
USDJPY,买入,止盈,50000,0,150.288,,,已取消,2025-11-10 13:03:04,,,,,,907728606
USDJPY,买入,止损,50000,50000,,153.894,153.894,已成交,2025-11-10 13:03:04,,,,,,907728605
USDJPY,卖出,市价,50000,50000,,,153.787,已成交,2025-11-10 13:03:04,-34.76,-34.76,0.00,0.00,0.00,114858411
XAUUSD,卖出,止损,2,0,,4045.65,,已取消,2025-11-10 12:28:04,,,,,,907727701
XAUUSD,买入,市价,2,2,,,4029.4,已成交,2025-11-10 12:28:04,49.20,49.20,0.00,0.00,0.00,114856316
BTCUSD,卖出,市价,0.05,0.05,,,102899.71,已成交,2025-11-08 10:19:00,-12.08,-12.08,0.00,0.00,0.00,114847764
XAUUSD,卖出,市价,2,2,,,3992.28,已成交,2025-11-08 00:22:33,-19.04,-19.04,0.00,0.00,0.00,114835253
XAUUSD,买入,止盈,2,0,3897.21,,,已取消,2025-11-07 22:12:09,,,,,,907714504
XAUUSD,卖出,市价,2,2,,,3994.72,已成交,2025-11-07 22:12:09,-17.86,-17.86,0.00,0.00,0.00,114834117
XAUUSD,卖出,市价,2,2,,,3993.53,已成交,2025-11-07 21:22:46,-16.80,-16.80,0.00,0.00,0.00,114833247
EURUSD,卖出,市价,50000,50000,,,1.15308,已成交,2025-11-07 17:47:38,-45.00,-45.00,0.00,0.00,0.00,114829402
USDJPY,买入,止盈,50000,0,149.705,,,已取消,2025-11-07 16:45:54,,,,,,907711447
USDJPY,买入,止损,50000,50000,,153.431,153.431,已成交,2025-11-07 16:45:54,,,,,,907711445
USDJPY,卖出,市价,50000,50000,,,153.379,已成交,2025-11-07 16:45:54,-16.95,-16.95,0.00,0.00,0.00,114829195
EURUSD,买入,止盈,50000,0,1.14872,,,已取消,2025-11-07 16:10:08,,,,,,907709387
EURUSD,买入,止损,50000,0,,1.15445,,已取消,2025-11-07 16:10:08,,,,,,907709386
EURUSD,卖出,市价,50000,50000,,,1.15385,已成交,2025-11-07 16:10:08,-8.00,-8.00,0.00,0.00,0.00,114825426
XAUUSD,买入,市价,2,2,,,3995.54,已成交,2025-11-07 12:02:55,-17.04,-17.04,0.00,0.00,0.00,114825719
USDJPY,买入,止损,50000,50000,,153.078,153.083,已成交,2025-11-07 10:38:13,,,,,,907709945
USDJPY,卖出,市价,50000,50000,,,152.992,已成交,2025-11-07 10:38:13,-29.72,-29.72,0.00,0.00,0.00,114826423
XAUUSD,卖出,市价,2,2,,,3994.73,已成交,2025-11-07 08:31:34,1.18,1.64,0.00,0.46,0.00,114812485
USDJPY,卖出,市价,25000,25000,,,153.847,已成交,2025-11-07 03:37:22,117.56,117.56,0.00,0.00,0.00,114809741
USDJPY,买入,止盈,25000,0,151.856,,,已取消,2025-11-07 03:37:22,,,,,,907699355
USDJPY,买入,止损,25000,0,,153.783,,已取消,2025-11-07 03:37:22,,,,,,907699354
USDJPY,卖出,市价,25000,25000,,,153.847,已成交,2025-11-06 20:21:38,28.31,28.31,0.00,0.00,0.00,114805887
USDJPY,买入,止盈,50000,0,148.861,,,已取消,2025-11-06 12:32:45,,,,,,907695184
USDJPY,买入,止损,50000,0,,154.094,,已取消,2025-11-06 12:32:45,,,,,,907695183
USDJPY,卖出,市价,50000,50000,,,154.091,已成交,2025-11-06 12:32:45,36.70,18.61,0.00,-18.09,0.00,114798395
BTCUSD,买入,止盈,0.05,0,99008.58,,,已取消,2025-11-06 09:37:09,,,,,,907697646
BTCUSD,买入,止损,0.05,0.05,,103297.58,103292.65,已成交,2025-11-06 09:37:09,,,,,,907697647
BTCUSD,卖出,市价,0.05,0.05,,,102862.35,已成交,2025-11-06 09:37:09,-21.52,-21.52,0.00,0.00,0.00,114802878
XAUUSD,卖出,市价,2,2,,,3971.34,已成交,2025-11-06 09:01:32,-12.20,-12.20,0.00,0.00,0.00,114802244
XAUUSD,卖出,止盈,5,0,4024.7,,,已取消,2025-11-06 00:35:03,,,,,,907694894
XAUUSD,卖出,止损,5,5,,3979.56,3979.49,已成交,2025-11-06 00:35:03,,,,,,907694895
XAUUSD,买入,市价,5,5,,,3983.21,已成交,2025-11-06 00:35:03,-18.60,-18.60,0.00,0.00,0.00,114797833
XAUUSD,卖出,市价,2,2,,,3970.63,已成交,2025-11-05 23:31:04,-21.70,-21.70,0.00,0.00,0.00,114796320
XAUUSD,卖出,市价,3,3,,,3970.63,已成交,2025-11-05 23:25:50,-14.94,-14.94,0.00,0.00,0.00,114796092
XAUUSD,买入,止盈,5,0,3955.68,,,已取消,2025-11-05 23:18:56,,,,,,907694070
XAUUSD,买入,止损,5,5,,3973.08,3973.06,已成交,2025-11-05 23:18:56,,,,,,907694071
XAUUSD,卖出,市价,5,5,,,3969.28,已成交,2025-11-05 23:18:56,-18.90,-18.90,0.00,0.00,0.00,114795998
USDJPY,卖出,市价,25000,25000,,,154.187,已成交,2025-11-05 23:00:10,-7.14,-10.14,0.00,-3.00,0.00,114763446
XAUUSD,卖出,市价,2,2,,,3961.35,已成交,2025-11-05 21:00:51,-19.14,-19.14,0.00,0.00,0.00,114790944
XAUUSD,买入,止盈,2,0,3895.67,,,已取消,2025-11-05 21:00:51,,,,,,907685535
XAUUSD,买入,止损,2,2,,3970.55,3970.92,已成交,2025-11-05 21:00:51,,,,,,907685536
XAUUSD,卖出,市价,2,2,,,3961.35,已成交,2025-11-05 19:47:05,-8.84,-8.84,0.00,0.00,0.00,114790570
XAUUSD,买入,市价,2,2,,,3947.93,已成交,2025-11-05 19:20:03,27.24,27.24,0.00,0.00,0.00,114785837
XAUUSD,卖出,止盈,2,0,3996.37,,,已取消,2025-11-05 19:20:03,,,,,,907681853
XAUUSD,卖出,止损,2,0,,3951.5,,已取消,2025-11-05 19:20:03,,,,,,907681852
XAUUSD,买入,市价,3,3,,,3947.93,已成交,2025-11-05 12:57:36,60.54,60.54,0.00,0.00,0.00,114784949
XAUUSD,买入,止盈,4,4,3957.58,,3958.03,已成交,2025-11-04 22:29:30,,,,,,907674560
XAUUSD,买入,止损,4,0,,3993.54,,已取消,2025-11-04 22:29:30,,,,,,907674552
XAUUSD,卖出,市价,4,4,,,3984.04,已成交,2025-11-04 22:29:30,104.04,104.04,0.00,0.00,0.00,114770073
XAUUSD,买入,止盈,4,0,3886.86,,,已取消,2025-11-04 21:10:14,,,,,,907673835
XAUUSD,买入,止损,4,4,,3992.92,3993.08,已成交,2025-11-04 21:10:14,,,,,,907673834
XAUUSD,卖出,市价,4,4,,,3986.88,已成交,2025-11-04 21:10:14,-24.80,-24.80,0.00,0.00,0.00,114768916
XAUUSD,卖出,止盈,4,0,4006.86,,,已取消,2025-11-04 20:29:47,,,,,,907673213
XAUUSD,卖出,止损,4,4,,3990,3989.93,已成交,2025-11-04 20:29:47,,,,,,907673212
XAUUSD,买入,市价,4,4,,,3993.73,已成交,2025-11-04 20:29:47,-15.20,-15.20,0.00,0.00,0.00,114767978
USDJPY,买入,止盈,25000,0,146.223,,,已取消,2025-11-05 23:00:10,,,,,,907669006
USDJPY,买入,止损,25000,25000,,154.107,154.231,已成交,2025-11-05 23:00:10,,,,,,907669007
USDJPY,卖出,市价,25000,25000,,,154.187,已成交,2025-11-04 14:38:05,97.35,97.35,0.00,0.00,0.00,114761232
XAUUSD,卖出,市价,1,1,,,4010.84,已成交,2025-11-04 11:00:37,22.35,22.58,0.00,0.23,0.00,114751321
XAUUSD,卖出,市价,1,1,,,4010.84,已成交,2025-11-03 23:32:19,-1.26,-1.26,0.00,0.00,0.00,114751285
XAUUSD,卖出,止损,2,2,,4018.72,4018.3,已成交,2025-11-03 23:24:42,,,,,,907663275
XAUUSD,买入,市价,2,2,,,4020.96,已成交,2025-11-03 23:24:42,-5.32,-5.32,0.00,0.00,0.00,114749827
XAUUSD,买入,止盈,2,0,3965.54,,,已取消,2025-11-03 22:36:13,,,,,,907662629
XAUUSD,买入,跟踪止损,2,2,,4012.27,4012.71,已成交,2025-11-03 22:36:13,,,,,,907662628
XAUUSD,卖出,市价,2,2,,,4004.99,已成交,2025-11-03 22:36:13,-15.44,-15.44,0.00,0.00,0.00,114748957
XAUUSD,卖出,止盈,2,0,4045.33,,,已取消,2025-11-03 22:30:02,,,,,,907661107
XAUUSD,卖出,止损,2,2,,4008.36,4008.61,已成交,2025-11-03 22:30:02,,,,,,907661106
XAUUSD,买入,市价,2,2,,,4012.24,已成交,2025-11-03 22:30:02,-7.26,-7.26,0.00,0.00,0.00,114746801
XAUUSD,买入,止盈,2,0,3926.27,,,已取消,2025-11-03 19:05:41,,,,,,907659741
XAUUSD,买入,跟踪止损,2,2,,4000,4000.1,已成交,2025-11-03 19:05:41,,,,,,907659742
XAUUSD,卖出,市价,2,2,,,3996.24,已成交,2025-11-03 19:05:41,-7.72,-7.72,0.00,0.00,0.00,114744825
XAUUSD,买入,止盈,2,0,3964.97,,,已取消,2025-11-03 17:08:20,,,,,,907658165
XAUUSD,卖出,市价,2,2,,,4012.61,已成交,2025-11-03 17:08:20,-21.40,-21.40,0.00,0.00,0.00,114742647
XAUUSD,买入,止盈,5,0,3985.92,,,已取消,2025-11-03 16:28:36,,,,,,907658101
XAUUSD,买入,跟踪止损,5,5,,4014.89,4014.97,已成交,2025-11-03 16:28:36,,,,,,907658100
XAUUSD,卖出,市价,5,5,,,4011.63,已成交,2025-11-03 16:28:36,-16.70,-16.70,0.00,0.00,0.00,114742527
XAUUSD,买入,市价,1,1,,,4021.85,已成交,2025-11-03 16:26:26,-8.97,-8.97,0.00,0.00,0.00,114742492
XAUUSD,买入,市价,1,1,,,4021.85,已成交,2025-11-03 16:26:00,-7.32,-7.32,0.00,0.00,0.00,114741357
XAUUSD,买入,市价,1,1,,,4009.66,已成交,2025-11-03 13:04:37,-10.28,-10.94,0.00,-0.66,0.00,114739840
XAUUSD,卖出,止盈,1,0,4139.15,,,已取消,2025-11-03 13:04:37,,,,,,907655385
XAUUSD,卖出,止损,1,1,,3999.76,3999.38,已成交,2025-11-03 13:04:37,,,,,,907655348
XAUUSD,买入,市价,1,1,,,4009.66,已成交,2025-11-03 12:24:18,-5.93,-6.59,0.00,-0.66,0.00,114726179
XAUUSD,卖出,市价,2,2,,,3976.01,已成交,2025-11-03 10:21:54,-59.58,-59.12,0.00,0.46,0.00,114723332
BTCUSD,卖出,止盈,0.05,0,111061,,,已取消,2025-11-01 09:37:00,,,,,,907642008
BTCUSD,卖出,止损,0.05,0.05,,109759,109761.63,已成交,2025-11-01 09:37:00,,,,,,907642007
BTCUSD,买入,市价,0.05,0.05,,,109953.21,已成交,2025-11-01 09:37:00,-9.58,-9.58,0.00,0.00,0.00,114728912
XAUUSD,卖出,止损,4,4,,4019.82,4020.41,已成交,2025-10-31 21:32:40,,,,,,907635664
XAUUSD,买入,市价,4,4,,,4020.31,已成交,2025-10-31 21:32:40,0.40,0.40,0.00,0.00,0.00,114717468
XAUUSD,卖出,市价,2,2,,,4007.39,已成交,2025-10-31 18:01:06,-6.28,-6.28,0.00,0.00,0.00,114715330
XAUUSD,买入,止盈,2,0,3454.51,,,已取消,2025-10-31 18:01:06,,,,,,907633929
XAUUSD,买入,止损,2,2,,4010.24,4010.53,已成交,2025-10-31 18:01:06,,,,,,907633930
XAUUSD,卖出,市价,2,2,,,4007.39,已成交,2025-10-31 17:57:32,-2.82,-2.82,0.00,0.00,0.00,114714698
XAUUSD,买入,市价,1,1,,,4024.67,已成交,2025-10-31 16:55:04,-16.54,-16.54,0.00,0.00,0.00,114714275
XAUUSD,买入,市价,1,1,,,4024.67,已成交,2025-10-31 16:51:08,-7.20,-7.20,0.00,0.00,0.00,114713219
USDJPY,买入,市价,10000,10000,,,154.236,已成交,2025-10-31 16:08:56,-0.39,-0.39,0.00,0.00,0.00,114713083
USDJPY,卖出,止盈,10000,0,158.299,,,已取消,2025-10-31 16:08:56,,,,,,907632620
USDJPY,卖出,止损,10000,10000,,154.234,154.23,已成交,2025-10-31 16:08:56,,,,,,907632619
USDJPY,买入,市价,40000,40000,,,154.236,已成交,2025-10-31 15:21:52,3.11,3.11,0.00,0.00,0.00,114712817
XAUUSD,卖出,市价,2,2,,,4014.19,已成交,2025-10-31 14:06:22,2.00,2.00,0.00,0.00,0.00,114710437
XAUUSD,买入,止盈,2,0,3895.48,,,已取消,2025-10-31 14:06:22,,,,,,907630881
XAUUSD,买入,止损,2,2,,4013.09,4013.19,已成交,2025-10-31 14:06:22,,,,,,907630880
XAUUSD,卖出,市价,2,2,,,4014.19,已成交,2025-10-31 10:50:51,2.36,2.36,0.00,0.00,0.00,114709900
EURUSD,卖出,止盈,20000,0,1.16059,,,已取消,2025-10-31 09:58:02,,,,,,907630651
EURUSD,卖出,止损,20000,0,,1.15639,,已取消,2025-10-31 09:58:02,,,,,,907630652
EURUSD,买入,市价,20000,20000,,,1.15771,已成交,2025-10-31 09:58:02,-22.20,-22.20,0.00,0.00,0.00,114709472
USDJPY,买入,止盈,15000,0,152.002,,,已取消,2025-10-31 09:31:28,,,,,,907630682
USDJPY,买入,止损,15000,15000,,153.772,153.773,已成交,2025-10-31 09:31:28,,,,,,907630681
USDJPY,卖出,市价,15000,15000,,,153.661,已成交,2025-10-31 09:31:28,-10.93,-10.93,0.00,0.00,0.00,114709536
XAUUSD,买入,市价,2,2,,,4000.28,已成交,2025-10-30 23:25:02,-8.72,-8.72,0.00,0.00,0.00,114699202
XAUUSD,卖出,止盈,2,0,4027.57,,,已取消,2025-10-30 23:25:02,,,,,,907626069
XAUUSD,卖出,止损,2,2,,3996.37,3995.92,已成交,2025-10-30 23:25:02,,,,,,907626070
XAUUSD,买入,市价,2,2,,,4000.28,已成交,2025-10-30 23:13:45,0.42,0.42,0.00,0.00,0.00,114699102
XAUUSD,买入,止盈,4,0,3907.78,,,已取消,2025-10-30 21:06:12,,,,,,907623561
XAUUSD,买入,止损,4,4,,3976.59,3976.52,已成交,2025-10-30 21:06:12,,,,,,907623560
